case, Central_Obj, SOCP_LB, Method, Outer, Inner, Res, Obj, Time
case14-2,53.67075082,53.67, ADMMg, ,42,3.35E-05,93.05751326,8.000597954
 , ,53.67, PDD,21,90,3.62E-05,54.00376738,1.835757017
 , ,53.67, Proposed,10,54,3.77E-05,53.98357672,1.128185987
case14-3,53.67075082,53.67, ADMMg, ,247,5.27E-05,72.86242317,5.522040129
 , ,53.67, PDD,21,190,5.25E-05,53.99141919,1.684995174
 , ,53.67, Proposed,20,140,1.11E-05,53.99240537,1.259537935
case14-4,53.67075082,53.67, ADMMg, ,259,5.90E-05,81.66865011,7.288784027
 , ,53.67, PDD,24,916,5.27E-05,54.69485266,8.453297138
 , ,53.67, Proposed,19,250,7.69E-06,54.41708523,2.156267166
case118-2,862.0927288,862.03, ADMMg, ,40,4.43E-05,1283.483346,6.097976923
 , ,862.03, PDD,24,81,3.34E-05,867.619802,3.450137854
 , ,862.03, Proposed,15,100,3.16E-05,864.7106684,3.501309872
case118-3,862.0927288,862.03, ADMMg, ,67,6.26E-05,1200.007947,1.64951992
 , ,862.03, PDD,25,143,5.80E-05,867.4427358,2.577621937
 , ,862.03, Proposed,11,86,5.16E-05,866.1775262,1.519567013
case118-4,862.0927288,862.03, ADMMg, ,59,8.11E-05,1201.820282,4.235147953
 , ,862.03, PDD,25,179,6.63E-05,868.6350443,2.995735884
 , ,862.03, Proposed,14,137,6.50E-05,867.1636219,2.453137875
case300-2,4751.312606,4751.2, ADMMg, ,227,4.80E-05,5054.518405,12.79776907
 , ,4751.2, PDD,28,99,3.86E-05,4756.494377,5.190234184
 , ,4751.2, Proposed,20,304,1.74E-05,4751.712023,16.03102398
case300-3,4751.312606,4751.2, ADMMg, ,400,6.43E-05,5049.163077,18.34557199
 , ,4751.2, PDD,28,126,6.27E-05,4757.632613,5.198408127
 , ,4751.2, Proposed,25,517,4.80E-05,4752.520057,20.29320002
case300-4,4751.312606,4751.2, ADMMg, ,1000,0.000167006,5041.504237,41.21022916
 , ,4751.2, PDD,28,246,6.92E-05,4764.015867,8.915721178
 , ,4751.2, Proposed,20,512,7.26E-05,4752.562217,17.01284909
case1354-2,740.0908563,740.0234544, ADMMg, ,901,7.86E-05,767.4429563,637.352874
 , ,740.0234544, PDD,25,293,6.45E-05,745.4562465,179.3426991
 , ,740.0234544, Proposed,19,126,6.39E-05,743.3246555,81.13341713
case1354-3,740.0908563,740.0234544, ADMMg, ,1000,0.00016603,771.5177554,323.779547
 , ,740.0234544, PDD,26,408,8.64E-05,747.9659131,163.60989
 , ,740.0234544, Proposed,18,137,7.04E-05,744.911079,48.50552487
case1354-4,740.0908563,740.0234544, ADMMg, ,1000,0.000490458,769.5510665,254.2976558
 , ,740.0234544, PDD,27,838,0.000108766,749.5278079,401.1570189
 , ,740.0234544, Proposed,18,170,8.15E-05,744.9788818,109.1286602
