case, Central_Obj, SOCP_LB, Method, Outer, Inner, Res, Obj, Gap, Time
case14-2,53.67075082,53.67074347, ADMMg, ,42,3.35E-05,93.05751326,42.33%,8.305835009
 , , , PDD,21,94,3.65E-05,53.95518192,0.53%,2.005704165
 , , , Proposed,10,54,3.77E-05,53.98357672,0.58%,1.253520966
case14-3,53.67075082,53.67074347, ADMMg, ,247,5.27E-05,72.86242317,26.34%,6.540853977
 , , , PDD,22,188,3.88E-05,53.97904235,0.57%,1.821467876
 , , , Proposed,20,140,1.11E-05,53.99240537,0.60%,1.405136108
case14-4,53.67075082,53.67074347, ADMMg, ,259,5.90E-05,81.66865011,34.28%,7.580515146
 , , , PDD,24,896,5.29E-05,54.71548508,1.91%,9.413317919
 , , , Proposed,19,250,7.69E-06,54.41708523,1.37%,2.430757046
case118-2,862.0927288,862.0328435, ADMMg, ,40,4.43E-05,1283.483346,32.84%,6.205271006
 , , , PDD,24,85,3.34E-05,870.1993658,0.94%,3.753902912
 , , , Proposed,15,100,3.16E-05,864.7106684,0.31%,3.943656921
case118-3,862.0927288,862.0328435, ADMMg, ,67,6.26E-05,1200.007947,28.16%,1.907510042
 , , , PDD,25,141,5.80E-05,867.4426529,0.62%,2.951448917
 , , , Proposed,11,86,5.16E-05,866.1775262,0.48%,1.847527981
case118-4,862.0927288,862.0328435, ADMMg, ,59,8.11E-05,1201.820282,28.27%,4.48141408
 , , , PDD,25,178,6.64E-05,868.6835155,0.77%,3.585863113
 , , , Proposed,14,137,6.50E-05,867.1636219,0.59%,2.864420891
case300-2,4751.312606,4751.203754, ADMMg, ,227,4.80E-05,5054.518405,6.00%,15.34430599
 , , , PDD,28,93,3.87E-05,4757.062968,0.12%,5.543581963
 , , , Proposed,20,304,1.74E-05,4751.712023,0.01%,18.03982806
case300-3,4751.312606,4751.203754, ADMMg, ,400,6.43E-05,5049.163077,5.90%,20.45865011
 , , , PDD,28,127,6.27E-05,4757.62618,0.13%,6.273571014
 , , , Proposed,25,517,4.80E-05,4752.520057,0.03%,23.82567406
case300-4,4751.312606,4751.203754, ADMMg, ,1000,1.67E-04,5041.504237,5.76%,46.41152501
 , , , PDD,28,243,7.37E-05,4765.061005,0.29%,10.28040314
 , , , Proposed,20,512,7.26E-05,4752.562217,0.03%,19.53758502
case1354-2,740.0908563,740.0234544, ADMMg, ,901,7.86E-05,767.4429563,3.57%,672.5071652
 , , , PDD,25,299,6.56E-05,745.4979644,0.73%,212.912353
 , , , Proposed,19,126,6.39E-05,743.3246555,0.44%,84.611619
case1354-3,740.0908563,740.0234544, ADMMg, ,1000,1.66E-04,771.5177554,4.08%,342.7712021
 , , , PDD,26,422,8.86E-05,747.9009521,1.05%,174.7819781
 , , , Proposed,18,137,7.04E-05,744.911079,0.66%,50.77470708
case1354-4,740.0908563,740.0234544, ADMMg, ,1000,4.90E-04,769.5510665,3.84%,265.591953
 , , , PDD,27,838,1.10E-04,749.6053529,1.28%,523.7896399
 , , , Proposed,18,170,8.15E-05,744.9788818,0.67%,115.7118509
