np, Central_Obj, Time, Method, Outer, Inner, Res, Obj,Gap, Time
60,1543.8351,9.550568819, Proposed,62,11,1.17E-05,1556.120007,0.79%,4.166824818
 , , , Penalty,102,18,1.32E-05,1552.154358,0.54%,7.820079088
90,3579.181452,17.33709192, Proposed,98,12,1.01E-05,3584.292593,0.14%,20.41931105
 , , , Penalty,136,18,9.62E-06,3583.769101,0.13%,26.9675982
120,6474.773471,56.64380097, Proposed,79,12,8.77E-06,6494.297502,0.30%,45.28208685
 , , , Penalty,113,17,1.75E-05,6488.26896,0.21%,60.41904306
180,14867.41061,212.9515991, Proposed,82,12,1.71E-05,14881.86778,0.10%,173.811816
 , , , Penalty,121,18,1.69E-05,14880.67684,0.09%,233.7549212
240,26747.83971,710.6767211, Proposed,79,12,1.25E-05,26866.95721,0.44%,417.6182439
 , , , Penalty,111,17,2.02E-05,26821.82268,0.28%,534.588625
300,42131.88514,1568.638849, Proposed,80,12,1.61E-05,42202.04604,0.17%,852.1874259
 , , , Penalty,115,18,2.94E-05,42183.52072,0.12%,1094.907586
